
Processing PeakSearchReadable.cxx...
Looking in directory /w/work2/home/oliver/APEX/peaksearch/JWMaster
401 files in search directory
For mass 178.5 MeV, p-value is 0.981764
For mass 178.75 MeV, p-value is 0.980988
For mass 178 MeV, p-value is 0.969935
For mass 179.25 MeV, p-value is 0.993059
For mass 179.5 MeV, p-value is 0.9966
For mass 179.75 MeV, p-value is 0.996611
For mass 179 MeV, p-value is 0.990602
For mass 180.25 MeV, p-value is 0.992357
For mass 180.5 MeV, p-value is 0.992077
For mass 180.75 MeV, p-value is 0.982663
For mass 180 MeV, p-value is 0.994844
For mass 181.25 MeV, p-value is 0.964649
For mass 181.5 MeV, p-value is 0.963493
For mass 181.75 MeV, p-value is 0.96534
For mass 181 MeV, p-value is 0.981378
For mass 182.25 MeV, p-value is 0.95946
For mass 182.5 MeV, p-value is 0.934487
For mass 182.75 MeV, p-value is 0.892785
For mass 182 MeV, p-value is 0.973158
For mass 183.25 MeV, p-value is 0.782118
For mass 183.5 MeV, p-value is 0.776676
For mass 183.75 MeV, p-value is 0.681092
For mass 183 MeV, p-value is 0.795619
For mass 184.25 MeV, p-value is 0.547293
For mass 184.5 MeV, p-value is 0.589776
For mass 184.75 MeV, p-value is 0.474916
For mass 184 MeV, p-value is 0.564248
For mass 185.25 MeV, p-value is 0.4321
For mass 185.5 MeV, p-value is 0.420096
For mass 185.75 MeV, p-value is 0.431823
For mass 185 MeV, p-value is 0.412051
For mass 186.25 MeV, p-value is 0.499194
For mass 186.5 MeV, p-value is 0.537216
For mass 186.75 MeV, p-value is 0.559131
For mass 186 MeV, p-value is 0.431567
For mass 187.25 MeV, p-value is 0.587114
For mass 187.5 MeV, p-value is 0.599029
For mass 187.75 MeV, p-value is 0.686441
For mass 187 MeV, p-value is 0.583794
For mass 188.25 MeV, p-value is 0.780555
For mass 188.5 MeV, p-value is 0.801045
For mass 188.75 MeV, p-value is 0.855395
For mass 188 MeV, p-value is 0.748748
For mass 189.25 MeV, p-value is 0.919852
For mass 189.5 MeV, p-value is 0.938194
For mass 189.75 MeV, p-value is 0.939264
For mass 189 MeV, p-value is 0.85314
For mass 190.25 MeV, p-value is 0.984973
For mass 190.5 MeV, p-value is 0.990054
For mass 190.75 MeV, p-value is 0.993752
For mass 190 MeV, p-value is 0.970899
For mass 191.25 MeV, p-value is 0.99432
For mass 191.5 MeV, p-value is 0.996072
For mass 191.75 MeV, p-value is 0.998032
For mass 191 MeV, p-value is 0.9937
For mass 192.25 MeV, p-value is 0.994079
For mass 192.5 MeV, p-value is 0.995561
For mass 192.75 MeV, p-value is 0.996176
For mass 192 MeV, p-value is 0.997907
For mass 193.25 MeV, p-value is 0.996886
For mass 193.5 MeV, p-value is 0.993799
For mass 193.75 MeV, p-value is 0.983525
For mass 193 MeV, p-value is 0.997628
For mass 194.25 MeV, p-value is 0.931536
For mass 194.5 MeV, p-value is 0.760837
For mass 194.75 MeV, p-value is 0.699177
For mass 194 MeV, p-value is 0.974
For mass 195.25 MeV, p-value is 0.325397
For mass 195.5 MeV, p-value is 0.339192
For mass 195.75 MeV, p-value is 0.232182
For mass 195 MeV, p-value is 0.500079
For mass 196.25 MeV, p-value is 0.047658
For mass 196.5 MeV, p-value is 0.0261489
For mass 196.75 MeV, p-value is 0.00826455
For mass 196 MeV, p-value is 0.092179
For mass 197.25 MeV, p-value is 0.00465323
For mass 197.5 MeV, p-value is 0.00258662
For mass 197.75 MeV, p-value is 0.00173894
For mass 197 MeV, p-value is 0.00428358
For mass 198.25 MeV, p-value is 0.00409456
For mass 198.5 MeV, p-value is 0.00455631
For mass 198.75 MeV, p-value is 0.00889079
For mass 198 MeV, p-value is 0.00321748
For mass 199.25 MeV, p-value is 0.0285255
For mass 199.5 MeV, p-value is 0.0731378
For mass 199.75 MeV, p-value is 0.159878
For mass 199 MeV, p-value is 0.0175553
For mass 200.25 MeV, p-value is 0.303455
For mass 200.5 MeV, p-value is 0.39234
For mass 200.75 MeV, p-value is 0.574387
For mass 200 MeV, p-value is 0.197695
For mass 201.25 MeV, p-value is 0.883965
For mass 201.5 MeV, p-value is 0.920103
For mass 201.75 MeV, p-value is 0.976535
For mass 201 MeV, p-value is 0.765324
For mass 202.25 MeV, p-value is 0.99779
For mass 202.5 MeV, p-value is 0.999461
For mass 202.75 MeV, p-value is 0.999825
For mass 202 MeV, p-value is 0.993942
For mass 203.25 MeV, p-value is 0.999997
For mass 203.5 MeV, p-value is 0.999999
For mass 203.75 MeV, p-value is 1
For mass 203 MeV, p-value is 0.999966
For mass 204.25 MeV, p-value is 1
For mass 204.5 MeV, p-value is 0.999999
For mass 204.75 MeV, p-value is 1
For mass 204 MeV, p-value is 0.999999
For mass 205.25 MeV, p-value is 0.999998
For mass 205.5 MeV, p-value is 0.999994
For mass 205.75 MeV, p-value is 0.999957
For mass 205 MeV, p-value is 1
For mass 206.25 MeV, p-value is 0.999457
For mass 206.5 MeV, p-value is 0.995442
For mass 206.75 MeV, p-value is 0.989813
For mass 206 MeV, p-value is 0.999844
For mass 207.25 MeV, p-value is 0.916671
For mass 207.5 MeV, p-value is 0.902693
For mass 207.75 MeV, p-value is 0.814725
For mass 207 MeV, p-value is 0.956278
For mass 208.25 MeV, p-value is 0.762904
For mass 208.5 MeV, p-value is 0.673178
For mass 208.75 MeV, p-value is 0.686567
For mass 208 MeV, p-value is 0.798819
For mass 209.25 MeV, p-value is 0.61686
For mass 209.5 MeV, p-value is 0.560908
For mass 209.75 MeV, p-value is 0.568084
